id,image_path,label
source0_00000,data/images/source0/source0_00000.png,0
source0_00001,data/images/source0/source0_00001.png,0
source0_00002,data/images/source0/source0_00002.png,1
source0_00003,data/images/source0/source0_00003.png,0
source0_00004,data/images/source0/source0_00004.png,0
source0_00005,data/images/source0/source0_00005.png,1
source0_00006,data/images/source0/source0_00006.png,0
source0_00007,data/images/source0/source0_00007.png,1
source0_00008,data/images/source0/source0_00008.png,1
source0_00009,data/images/source0/source0_00009.png,1
source0_00010,data/images/source0/source0_00010.png,1
source0_00011,data/images/source0/source0_00011.png,1
source0_00012,data/images/source0/source0_00012.png,0
source0_00013,data/images/source0/source0_00013.png,0
source0_00014,data/images/source0/source0_00014.png,0
source0_00015,data/images/source0/source0_00015.png,1
source0_00016,data/images/source0/source0_00016.png,1
source0_00017,data/images/source0/source0_00017.png,1
source0_00018,data/images/source0/source0_00018.png,0
source0_00019,data/images/source0/source0_00019.png,0
source0_00020,data/images/source0/source0_00020.png,1
source0_00021,data/images/source0/source0_00021.png,1
source0_00022,data/images/source0/source0_00022.png,0
source0_00023,data/images/source0/source0_00023.png,1
source0_00024,data/images/source0/source0_00024.png,1
source0_00025,data/images/source0/source0_00025.png,0
source0_00026,data/images/source0/source0_00026.png,1
source0_00027,data/images/source0/source0_00027.png,0
source0_00028,data/images/source0/source0_00028.png,0
source0_00029,data/images/source0/source0_00029.png,0
source0_00030,data/images/source0/source0_00030.png,1
source0_00031,data/images/source0/source0_00031.png,1
source0_00032,data/images/source0/source0_00032.png,0
source0_00033,data/images/source0/source0_00033.png,1
source0_00034,data/images/source0/source0_00034.png,1
source0_00035,data/images/source0/source0_00035.png,0
source0_00036,data/images/source0/source0_00036.png,1
source0_00037,data/images/source0/source0_00037.png,1
source0_00038,data/images/source0/source0_00038.png,0
source0_00039,data/images/source0/source0_00039.png,0
source0_00040,data/images/source0/source0_00040.png,0
source0_00041,data/images/source0/source0_00041.png,1
source0_00042,data/images/source0/source0_00042.png,1
source0_00043,data/images/source0/source0_00043.png,1
source0_00044,data/images/source0/source0_00044.png,1
source0_00045,data/images/source0/source0_00045.png,1
source0_00046,data/images/source0/source0_00046.png,1
source0_00047,data/images/source0/source0_00047.png,1
source0_00048,data/images/source0/source0_00048.png,1
source0_00049,data/images/source0/source0_00049.png,0
source0_00050,data/images/source0/source0_00050.png,0
source0_00051,data/images/source0/source0_00051.png,0
source0_00052,data/images/source0/source0_00052.png,0
source0_00053,data/images/source0/source0_00053.png,0
source0_00054,data/images/source0/source0_00054.png,0
source0_00055,data/images/source0/source0_00055.png,1
source0_00056,data/images/source0/source0_00056.png,0
source0_00057,data/images/source0/source0_00057.png,0
source0_00058,data/images/source0/source0_00058.png,1
source0_00059,data/images/source0/source0_00059.png,1
source0_00060,data/images/source0/source0_00060.png,1
source0_00061,data/images/source0/source0_00061.png,1
source0_00062,data/images/source0/source0_00062.png,0
source0_00063,data/images/source0/source0_00063.png,0
source0_00064,data/images/source0/source0_00064.png,0
source0_00065,data/images/source0/source0_00065.png,1
source0_00066,data/images/source0/source0_00066.png,0
source0_00067,data/images/source0/source0_00067.png,1
source0_00068,data/images/source0/source0_00068.png,0
source0_00069,data/images/source0/source0_00069.png,1
source0_00070,data/images/source0/source0_00070.png,1
source0_00071,data/images/source0/source0_00071.png,0
source0_00072,data/images/source0/source0_00072.png,1
source0_00073,data/images/source0/source0_00073.png,0
source0_00074,data/images/source0/source0_00074.png,1
source0_00075,data/images/source0/source0_00075.png,0
source0_00076,data/images/source0/source0_00076.png,1
source0_00077,data/images/source0/source0_00077.png,1
source0_00078,data/images/source0/source0_00078.png,0
source0_00079,data/images/source0/source0_00079.png,1
source0_00080,data/images/source0/source0_00080.png,1
source0_00081,data/images/source0/source0_00081.png,0
source0_00082,data/images/source0/source0_00082.png,1
source0_00083,data/images/source0/source0_00083.png,0
source0_00084,data/images/source0/source0_00084.png,1
source0_00085,data/images/source0/source0_00085.png,1
source0_00086,data/images/source0/source0_00086.png,0
source0_00087,data/images/source0/source0_00087.png,0
source0_00088,data/images/source0/source0_00088.png,1
source0_00089,data/images/source0/source0_00089.png,1
source0_00090,data/images/source0/source0_00090.png,0
source0_00091,data/images/source0/source0_00091.png,1
source0_00092,data/images/source0/source0_00092.png,1
source0_00093,data/images/source0/source0_00093.png,1
source0_00094,data/images/source0/source0_00094.png,0
source0_00095,data/images/source0/source0_00095.png,0
source0_00096,data/images/source0/source0_00096.png,0
source0_00097,data/images/source0/source0_00097.png,1
source0_00098,data/images/source0/source0_00098.png,1
source0_00099,data/images/source0/source0_00099.png,1
source0_00100,data/images/source0/source0_00100.png,0
source0_00101,data/images/source0/source0_00101.png,1
source0_00102,data/images/source0/source0_00102.png,1
source0_00103,data/images/source0/source0_00103.png,0
source0_00104,data/images/source0/source0_00104.png,0
